countrycode,country,year,rgdpna,emp,rkna,delta,n,yr_sch
TZA,"U.R. of Tanzania: Mainland",2010,94526.546875,19.137523651123,362264.09375,0.0419664867222309,0.044925149398148,5.81
UGA,"Uganda",2010,60620.46484375,11.6374263763428,143906.328125,0.0486049167811871,0.0614841278332903,5.7
URY,"Uruguay",2010,55408.34375,1.58423006534576,214591.390625,0.0362423025071621,0.0140951719034236,8.17
USA,"United States",2010,15273331,141.349105834961,48728140,0.0471082739531994,-0.00533034284943022,13.18
VEN,"Venezuela (Bolivarian Republic of)",2010,501291.40625,11.6041965484619,2073764.625,0.0375907681882381,0.0208937051241424,8.41
VNM,"Viet Nam",2010,402426.9375,48.7777862548828,1036904.625,0.045953631401062,0.0293655848676512,7.15
YEM,"Yemen",2010,113573.140625,5.40491580963135,179948.296875,0.0416370406746864,0.00331560901412281,3.68
ZAF,"South Africa",2010,599116.5625,15.3666648864746,1885668.25,0.0519914068281651,-0.00644073103681569,9.69
ZMB,"Zambia",2010,43225.58984375,3.79295921325684,221455.34375,0.0449437350034714,0.0338017735137432,7.32
ZWE,"Zimbabwe",2010,19295.1875,6.29843807220459,78953.296875,0.0373084470629692,0.00199051138998836,7.61
